date,region,product,unit_price,units_sold,revenue,customer_rating
2024-01-01,East,Widget A,64.98,15,974.63,5.0
2024-01-02,South,Widget B,46.97,33,1550.0,3.0
2024-01-03,West,Widget C,54.36,33,1793.93,1.0
2024-01-04,East,Gadget X,21.08,30,632.43,4.0
2024-01-05,North,Widget C,36.12,4,144.5,5.0
2024-01-06,West,Gadget X,46.47,24,1115.39,5.0
2024-01-07,East,Widget C,37.13,31,1151.17,4.0
2024-01-08,East,Widget A,58.57,47,2752.92,5.0
2024-01-09,North,Widget B,73.97,26,1923.16,4.0
2024-01-10,South,Gadget X,35.88,17,609.97,4.0
2024-01-11,South,Widget A,39.95,28,1118.61,
2024-01-12,West,Gadget X,52.83,9,475.43,3.0
2024-01-13,East,Widget C,69.33,5,346.67,4.0
2024-01-14,West,Widget B,35.33,34,1201.27,5.0
2024-01-15,South,Gadget X,52.99,49,2596.43,4.0
2024-01-16,North,Gadget X,71.86,42,3017.93,5.0
2024-01-17,East,Widget A,30.18,29,875.19,4.0
2024-01-18,North,Widget A,34.63,2,69.25,3.0
2024-01-19,West,Widget C,44.92,49,2200.92,4.0
2024-01-20,East,Gadget X,43.75,23,1006.32,4.0
2024-01-21,East,Widget A,59.75,15,896.27,4.0
2024-01-22,South,Widget C,52.9,44,2327.6,3.0
2024-01-23,West,Widget A,28.7,37,1061.92,5.0
2024-01-24,West,Widget C,56.18,37,2078.84,4.0
2024-01-25,East,Widget C,43.07,14,602.97,4.0
2024-01-26,North,Widget A,65.29,49,3199.37,3.0
2024-01-27,South,Widget C,42.47,23,976.79,4.0
2024-01-28,North,Gadget X,42.36,27,1143.74,4.0
2024-01-29,North,Gadget X,56.49,37,2090.26,5.0
2024-01-30,East,Widget A,59.16,33,1952.12,4.0
2024-01-31,East,Widget A,55.38,9,498.39,5.0
2024-02-01,West,Widget A,29.77,15,446.59,
2024-02-02,South,Widget B,56.46,18,1016.22,3.0
2024-02-03,South,Widget A,37.59,47,1766.65,3.0
2024-02-04,South,Gadget X,52.82,36,1901.64,3.0
2024-02-05,North,Gadget X,32.92,18,592.47,5.0
2024-02-06,North,Gadget X,55.36,37,2048.17,3.0
